ComponentName,Project,CBO,CYCLO,DIT,ELOC,FanIn,FanOut,LCOM,LOC,LOCNAMM,NOA,NOC,NOM,NOMNAMM,NOPA,PMMM,PRB,WLOCNAMM,WMC,WMCNAMM,NMNOPARAM,CDSBP,CC,LC,LZC,RB,SC
org.apache.ivy.ant.IvyBuildList,ant-ivy-2.0.0-alpha2,26,68,2,306,21,96,389,306,288,12,0,31,25,0,0.064516129,0,10.84,68,0,12,0,0,0,0,0,1
org.apache.ivy.ant.IvyBuildNumber,ant-ivy-2.0.0-alpha2,6,50,2,186,3,28,150,186,162,8,0,21,13,0,0,0,9.923076923,50,0,9,0,0,0,0,0,0
org.apache.ivy.ant.IvyCacheFileset,ant-ivy-2.0.0-alpha2,7,12,2,45,3,17,0,45,42,1,0,4,3,0,0,0,12,12,0,2,0,0,0,0,0,0
org.apache.ivy.ant.IvyCachePath,ant-ivy-2.0.0-alpha2,6,10,2,44,3,14,0,44,41,2,0,4,3,0,0,0,11.33333333,10,0,2,0,0,0,0,0,0
org.apache.ivy.ant.IvyCacheTask,ant-ivy-2.0.0-alpha2,19,13,2,54,2,31,3,54,54,0,2,3,3,0,0,0,16.33333333,13,0,3,0,0,0,0,0,0
org.apache.ivy.ant.IvyCheck,ant-ivy-2.0.0-alpha2,9,12,2,52,0,11,1,52,46,3,0,6,4,0,0.166666667,0,9.5,12,0,3,0,0,0,0,0,0
org.apache.ivy.ant.IvyCleanCache,ant-ivy-2.0.0-alpha2,2,3,2,11,4,7,0,11,11,0,0,1,1,0,0,0,6,3,0,1,0,0,0,0,0,0
org.apache.ivy.ant.IvyConfigure,ant-ivy-2.0.0-alpha2,7,17,2,54,17,19,0,54,54,1,0,11,11,0,0.727272727,0,4.636363636,17,0,3,0,0,0,0,0,0
org.apache.ivy.ant.IvyConvertPom,ant-ivy-2.0.0-alpha2,9,11,2,41,4,8,0,41,35,2,0,5,3,0,0,0,9.333333333,11,0,3,0,0,0,0,0,0
org.apache.ivy.ant.IvyDeliver,ant-ivy-2.0.0-alpha2,19,46,2,289,5,38,271,289,259,13,0,27,17,0,0,0,8.294117647,46,0,13,0,0,0,0,0,0
org.apache.ivy.ant.IvyExtractFromSources,ant-ivy-2.0.0-alpha2,25,33,2,148,0,41,80,148,133,8,0,16,11,0,0.0625,0,10.09090909,33,0,7,0,0,0,0,0,0
org.apache.ivy.ant.IvyFindRevision,ant-ivy-2.0.0-alpha2,6,19,2,60,3,9,25,60,45,5,0,11,6,0,0,0,5.833333333,19,0,6,0,0,0,0,0,0
org.apache.ivy.ant.IvyInfo,ant-ivy-2.0.0-alpha2,13,8,2,45,0,24,0,45,42,1,0,3,2,0,0,0,18,8,0,2,0,0,0,0,0,0
org.apache.ivy.ant.IvyInstall,ant-ivy-2.0.0-alpha2,8,41,2,121,3,10,191,121,97,11,0,23,15,0,0,0,5.4,41,0,12,0,0,0,0,0,0
org.apache.ivy.ant.IvyListModules,ant-ivy-2.0.0-alpha2,6,25,2,79,3,8,63,79,58,7,0,15,8,0,0,0,5.75,25,0,8,0,0,0,0,0,0
org.apache.ivy.ant.IvyPostResolveTask,ant-ivy-2.0.0-alpha2,14,69,2,258,25,85,526,258,231,14,4,36,27,0,0.027777778,0,7.851851852,69,0,18,0,0,0,0,0,1
org.apache.ivy.ant.IvyPostResolveTask,ant-ivy-2.0.0-alpha2,14,69,2,258,25,85,526,258,231,14,4,36,27,0,0.027777778,0,7.851851852,69,0,18,0,0,0,0,0,1
org.apache.ivy.ant.IvyPostResolveTask,ant-ivy-2.0.0-alpha2,14,69,2,258,25,85,526,258,231,14,4,36,27,0,0.027777778,0,7.851851852,69,0,18,0,0,0,0,0,1
org.apache.ivy.ant.IvyPostResolveTask,ant-ivy-2.0.0-alpha2,14,69,2,258,25,85,526,258,231,14,4,36,27,0,0.027777778,0,7.851851852,69,0,18,0,0,0,0,0,1
org.apache.ivy.ant.IvyPostResolveTask,ant-ivy-2.0.0-alpha2,14,69,2,258,25,85,526,258,231,14,4,36,27,0,0.027777778,0,7.851851852,69,0,18,0,0,0,0,0,1
org.apache.ivy.ant.IvyPostResolveTask,ant-ivy-2.0.0-alpha2,14,69,2,258,25,85,526,258,231,14,4,36,27,0,0.027777778,0,7.851851852,69,0,18,0,0,0,0,0,1
org.apache.ivy.ant.IvyPostResolveTask,ant-ivy-2.0.0-alpha2,14,69,2,258,25,85,526,258,231,14,4,36,27,0,0.027777778,0,7.851851852,69,0,18,0,0,0,0,0,1
org.apache.ivy.ant.IvyPostResolveTask,ant-ivy-2.0.0-alpha2,14,69,2,258,25,85,526,258,231,14,4,36,27,0,0.027777778,0,7.851851852,69,0,18,0,0,0,0,0,1
org.apache.ivy.ant.IvyPostResolveTask,ant-ivy-2.0.0-alpha2,14,69,2,258,25,85,526,258,231,14,4,36,27,0,0.027777778,0,7.851851852,69,0,18,0,0,0,0,0,1
org.apache.ivy.ant.IvyPublish,ant-ivy-2.0.0-alpha2,19,75,2,313,4,64,769,313,280,21,0,43,33,0,0.046511628,0,5.727272727,75,0,20,0,0,0,0,0,1
org.apache.ivy.ant.IvyPublish,ant-ivy-2.0.0-alpha2,19,75,2,313,4,64,769,313,280,21,0,43,33,0,0.046511628,0,5.727272727,75,0,20,0,0,0,0,0,1
org.apache.ivy.ant.IvyPublish,ant-ivy-2.0.0-alpha2,19,75,2,313,4,64,769,313,280,21,0,43,33,0,0.046511628,0,5.727272727,75,0,20,0,0,0,0,0,1
org.apache.ivy.ant.IvyPublish,ant-ivy-2.0.0-alpha2,19,75,2,313,4,64,769,313,280,21,0,43,33,0,0.046511628,0,5.727272727,75,0,20,0,0,0,0,0,1
org.apache.ivy.ant.IvyPublish,ant-ivy-2.0.0-alpha2,19,75,2,313,4,64,769,313,280,21,0,43,33,0,0.046511628,0,5.727272727,75,0,20,0,0,0,0,0,1
org.apache.ivy.ant.IvyPublish,ant-ivy-2.0.0-alpha2,19,75,2,313,4,64,769,313,280,21,0,43,33,0,0.046511628,0,5.727272727,75,0,20,0,0,0,0,0,1
org.apache.ivy.ant.IvyPublish,ant-ivy-2.0.0-alpha2,19,75,2,313,4,64,769,313,280,21,0,43,33,0,0.046511628,0,5.727272727,75,0,20,0,0,0,0,0,1
org.apache.ivy.ant.IvyPublish,ant-ivy-2.0.0-alpha2,19,75,2,313,4,64,769,313,280,21,0,43,33,0,0.046511628,0,5.727272727,75,0,20,0,0,0,0,0,1
org.apache.ivy.ant.IvyPublish,ant-ivy-2.0.0-alpha2,19,75,2,313,4,64,769,313,280,21,0,43,33,0,0.046511628,0,5.727272727,75,0,20,0,0,0,0,0,1
org.apache.ivy.ant.IvyPublish,ant-ivy-2.0.0-alpha2,19,75,2,313,4,64,769,313,280,21,0,43,33,0,0.046511628,0,5.727272727,75,0,20,0,0,0,0,0,1
org.apache.ivy.ant.IvyReport,ant-ivy-2.0.0-alpha2,19,68,2,239,3,58,330,239,212,14,0,33,24,0,0.03030303,0,8.041666667,68,0,15,0,0,0,0,0,0
org.apache.ivy.ant.IvyRepositoryReport,ant-ivy-2.0.0-alpha2,18,66,2,206,3,70,426,206,176,15,0,36,26,0,0.027777778,0,6,66,0,16,0,0,0,0,0,0
org.apache.ivy.ant.IvyResolve,ant-ivy-2.0.0-alpha2,14,62,2,240,115,52,583,240,210,17,0,38,28,0,0.078947368,0,6.714285714,62,0,18,0,0,0,0,0,1
org.apache.ivy.ant.IvyResolve,ant-ivy-2.0.0-alpha2,14,62,2,240,115,52,583,240,210,17,0,38,28,0,0.078947368,0,6.714285714,62,0,18,0,0,0,0,0,1
org.apache.ivy.ant.IvyResolve,ant-ivy-2.0.0-alpha2,14,62,2,240,115,52,583,240,210,17,0,38,28,0,0.078947368,0,6.714285714,62,0,18,0,0,0,0,0,1
org.apache.ivy.ant.IvyResolve,ant-ivy-2.0.0-alpha2,14,62,2,240,115,52,583,240,210,17,0,38,28,0,0.078947368,0,6.714285714,62,0,18,0,0,0,0,0,1
org.apache.ivy.ant.IvyResolve,ant-ivy-2.0.0-alpha2,14,62,2,240,115,52,583,240,210,17,0,38,28,0,0.078947368,0,6.714285714,62,0,18,0,0,0,0,0,1
org.apache.ivy.ant.IvyResolve,ant-ivy-2.0.0-alpha2,14,62,2,240,115,52,583,240,210,17,0,38,28,0,0.078947368,0,6.714285714,62,0,18,0,0,0,0,0,1
org.apache.ivy.ant.IvyResolve,ant-ivy-2.0.0-alpha2,14,62,2,240,115,52,583,240,210,17,0,38,28,0,0.078947368,0,6.714285714,62,0,18,0,0,0,0,0,1
org.apache.ivy.ant.IvyResolve,ant-ivy-2.0.0-alpha2,14,62,2,240,115,52,583,240,210,17,0,38,28,0,0.078947368,0,6.714285714,62,0,18,0,0,0,0,0,1
org.apache.ivy.ant.IvyResolve,ant-ivy-2.0.0-alpha2,14,62,2,240,115,52,583,240,210,17,0,38,28,0,0.078947368,0,6.714285714,62,0,18,0,0,0,0,0,1
org.apache.ivy.ant.IvyResolve,ant-ivy-2.0.0-alpha2,14,62,2,240,115,52,583,240,210,17,0,38,28,0,0.078947368,0,6.714285714,62,0,18,0,0,0,0,0,1
org.apache.ivy.ant.IvyRetrieve,ant-ivy-2.0.0-alpha2,4,14,2,47,4,24,8,47,41,4,0,8,6,0,0,0,5.333333333,14,0,4,0,0,0,0,0,0
org.apache.ivy.ant.IvyTask,ant-ivy-2.0.0-alpha2,14,82,2,220,25,66,364,220,217,4,18,28,27,1,0.321428571,0,7.703703704,82,0,9,0,0,0,0,0,0
org.apache.ivy.ant.IvyVar,ant-ivy-2.0.0-alpha2,9,25,2,92,27,18,38,92,77,5,0,12,7,0,0,0,9.571428571,25,0,6,0,0,0,0,0,0
org.apache.ivy.ant.PackageMapping,ant-ivy-2.0.0-alpha2,1,14,1,36,1,1,16,36,24,4,0,9,5,0,0.111111111,0,3,14,0,5,0,0,0,0,0,0
org.apache.ivy.core.ExecutionRelativeUrlResolver,ant-ivy-2.0.0-alpha2,2,4,2,8,0,0,0,8,8,0,0,1,1,0,0,0,3,4,0,0,0,0,0,0,0,0
org.apache.ivy.core.IvyContext,ant-ivy-2.0.0-alpha2,14,59,1,190,69,39,230,190,184,8,0,24,22,0,0.291666667,0,7.727272727,59,0,13,0,0,0,0,0,0
org.apache.ivy.core.IvyPatternHelper,ant-ivy-2.0.0-alpha2,14,82,1,304,155,84,351,304,304,12,0,27,27,10,0.37037037,0,8.925925926,82,0,1,0,0,0,0,0,0
org.apache.ivy.core.IvyThread,ant-ivy-2.0.0-alpha2,0,10,2,38,5,2,45,38,38,1,0,10,10,0,0.2,0,3.1,10,0,3,0,0,0,0,0,0
org.apache.ivy.core.NormalRelativeUrlResolver,ant-ivy-2.0.0-alpha2,2,4,2,8,4,0,0,8,8,0,0,1,1,0,0,0,3,4,0,0,0,0,0,0,0,0
org.apache.ivy.core.RelativeUrlResolver,ant-ivy-2.0.0-alpha2,3,9,1,37,13,3,1,37,37,0,2,2,2,0,0,0,16,9,0,0,0,0,0,0,0,0
org.apache.ivy.core.cache.ArtifactOrigin,ant-ivy-2.0.0-alpha2,0,15,1,58,75,3,0,58,51,3,0,6,5,0,0.166666667,0,8.2,15,0,4,0,0,0,0,0,0
org.apache.ivy.core.cache.CacheManager,ant-ivy-2.0.0-alpha2,14,81,1,204,188,93,214,204,201,2,0,29,28,0,0.034482759,0,7.142857143,81,0,2,0,0,0,0,0,0
org.apache.ivy.core.check.CheckEngine,ant-ivy-2.0.0-alpha2,19,8,1,78,5,25,0,78,78,2,0,2,2,0,0,0,37,8,0,0,0,0,0,0,0,0
org.apache.ivy.core.deliver.DefaultPublishingDRResolver,ant-ivy-2.0.0-alpha2,2,2,1,5,4,1,0,5,5,0,0,1,1,0,1,0,3,2,0,0,0,0,0,0,0,0
org.apache.ivy.core.deliver.DeliverEngine,ant-ivy-2.0.0-alpha2,24,10,1,98,6,49,1,98,98,1,0,3,3,0,0,0,31.66666667,10,0,0,0,0,0,0,0,0
org.apache.ivy.core.deliver.DeliverOptions,ant-ivy-2.0.0-alpha2,3,47,1,131,10,2,120,131,97,8,0,20,14,0,0,0,6,47,0,10,0,0,0,0,0,0
org.apache.ivy.core.deliver.PublishingDependencyRevisionResolver,ant-ivy-2.0.0-alpha2,2,3,1,13,12,0,0,13,13,0,0,1,1,0,0,0,9,3,0,0,0,0,0,0,0,0
org.apache.ivy.core.event.EventManager,ant-ivy-2.0.0-alpha2,5,19,1,55,37,21,0,55,55,1,0,11,11,0,0.454545455,0,4.727272727,19,0,0,0,0,0,0,0,0
org.apache.ivy.core.event.FilteredIvyListener,ant-ivy-2.0.0-alpha2,1,7,1,19,3,2,0,19,13,2,0,4,2,0,0,0,4.5,7,0,2,0,0,0,0,0,0
org.apache.ivy.core.event.IvyEvent,ant-ivy-2.0.0-alpha2,7,21,1,68,50,25,54,68,55,3,5,13,10,0,0.153846154,0,4.7,21,0,5,0,0,0,0,0,0
org.apache.ivy.core.event.IvyEventFilter,ant-ivy-2.0.0-alpha2,8,20,1,81,16,23,6,81,81,6,0,5,5,0,0.2,0,17.2,20,0,0,0,0,0,0,0,0
org.apache.ivy.core.event.IvyListener,ant-ivy-2.0.0-alpha2,1,1,1,3,41,0,0,3,3,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
org.apache.ivy.core.event.download.DownloadEvent,ant-ivy-2.0.0-alpha2,2,7,2,15,12,5,0,15,12,1,3,3,2,0,0.333333333,0,4.5,7,0,1,0,0,0,0,0,0
org.apache.ivy.core.event.download.EndArtifactDownloadEvent,ant-ivy-2.0.0-alpha2,5,8,2,29,1,10,0,29,23,3,0,3,1,1,0,0,18,8,0,2,0,0,0,0,0,0
org.apache.ivy.core.event.download.NeedArtifactEvent,ant-ivy-2.0.0-alpha2,2,4,2,12,1,2,0,12,9,2,0,2,1,1,0,0,5,4,0,1,0,0,0,0,0,0
org.apache.ivy.core.event.download.PrepareDownloadEvent,ant-ivy-2.0.0-alpha2,2,5,2,11,1,0,0,11,8,2,0,2,1,1,0,0,4,5,0,1,0,0,0,0,0,0
org.apache.ivy.core.event.download.StartArtifactDownloadEvent,ant-ivy-2.0.0-alpha2,3,7,2,19,1,5,0,19,13,3,0,3,1,1,0,0,8,7,0,2,0,0,0,0,0,0
org.apache.ivy.core.event.resolve.EndResolveDependencyEvent,ant-ivy-2.0.0-alpha2,3,5,2,18,1,4,0,18,15,2,0,2,1,1,0,0,11,5,0,1,0,0,0,0,0,0
org.apache.ivy.core.event.resolve.EndResolveEvent,ant-ivy-2.0.0-alpha2,2,3,2,11,4,0,0,11,8,2,0,2,1,1,0,0,4,3,0,1,0,0,0,0,0,0
org.apache.ivy.core.event.resolve.ResolveDependencyEvent,ant-ivy-2.0.0-alpha2,3,5,2,18,8,6,0,18,12,2,2,3,1,0,0,0,8,5,0,2,0,0,0,0,0,0
org.apache.ivy.core.event.resolve.ResolveEvent,ant-ivy-2.0.0-alpha2,2,3,2,14,38,2,0,14,11,2,2,2,1,0,0,0,7,3,0,1,0,0,0,0,0,0
org.apache.ivy.core.event.resolve.StartResolveDependencyEvent,ant-ivy-2.0.0-alpha2,2,1,2,6,1,0,0,6,6,1,0,1,1,1,0,0,3,1,0,0,0,0,0,0,0,0
org.apache.ivy.core.event.resolve.StartResolveEvent,ant-ivy-2.0.0-alpha2,1,1,2,6,28,0,0,6,6,1,0,1,1,1,0,0,3,1,0,0,0,0,0,0,0,0
org.apache.ivy.core.install.InstallEngine,ant-ivy-2.0.0-alpha2,30,9,1,83,6,44,0,83,83,4,0,3,3,0,0,0,25.66666667,9,0,0,0,0,0,0,0,0
org.apache.ivy.core.module.descriptor.AbstractArtifact,ant-ivy-2.0.0-alpha2,1,23,1,46,2,30,45,46,46,0,2,10,10,0,0,0,4.2,23,0,6,0,0,0,0,0,0
org.apache.ivy.core.module.descriptor.AbstractIncludeExcludeRule,ant-ivy-2.0.0-alpha2,7,19,2,51,2,14,14,51,45,3,2,9,7,0,0.222222222,0,5.285714286,19,0,6,0,0,0,0,0,0
org.apache.ivy.core.module.descriptor.Artifact,ant-ivy-2.0.0-alpha2,5,27,1,45,1326,0,28,45,45,0,0,8,8,0,0,0,5,27,0,8,0,0,0,0,0,0
org.apache.ivy.core.module.descriptor.Configuration,ant-ivy-2.0.0-alpha2,3,33,2,147,804,16,20,147,123,5,0,13,9,0,0,0,10.11111111,33,0,7,0,0,0,0,0,0
org.apache.ivy.core.module.descriptor.ConfigurationAware,ant-ivy-2.0.0-alpha2,0,3,1,15,3,0,1,15,15,0,0,2,2,0,0,0,5,3,0,1,0,0,0,0,0,0
org.apache.ivy.core.module.descriptor.DefaultArtifact,ant-ivy-2.0.0-alpha2,5,39,2,72,45,23,76,72,63,3,0,16,13,0,0.3125,0,4.307692308,39,0,8,0,0,0,0,0,0
org.apache.ivy.core.module.descriptor.DefaultDependencyArtifactDescriptor,ant-ivy-2.0.0-alpha2,6,24,2,71,2,14,25,71,59,5,0,11,7,0,0.181818182,0,7.428571429,24,0,8,0,0,0,0,0,0
org.apache.ivy.core.module.descriptor.DefaultDependencyDescriptor,ant-ivy-2.0.0-alpha2,19,120,1,364,107,128,847,364,358,15,0,47,45,0,0.319148936,0,7.311111111,120,0,17,0,0,0,0,0,0
org.apache.ivy.core.module.descriptor.DefaultExcludeRule,ant-ivy-2.0.0-alpha2,3,4,2,8,2,0,1,8,8,0,0,2,2,0,0,0,3,4,0,1,0,0,0,0,0,0
org.apache.ivy.core.module.descriptor.DefaultIncludeRule,ant-ivy-2.0.0-alpha2,3,4,2,8,5,0,1,8,8,0,0,2,2,0,0,0,3,4,0,1,0,0,0,0,0,0
org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor,ant-ivy-2.0.0-alpha2,29,151,1,414,67,145,1555,414,384,19,0,62,52,0,0.193548387,0,6.730769231,151,0,26,0,0,0,0,0,0
org.apache.ivy.core.module.descriptor.DependencyArtifactDescriptor,ant-ivy-2.0.0-alpha2,2,15,1,30,31,0,10,30,30,0,0,5,5,0,0,0,5,15,0,5,0,0,0,0,0,0
org.apache.ivy.core.module.descriptor.DependencyDescriptor,ant-ivy-2.0.0-alpha2,5,36,1,45,279,0,253,45,45,0,0,23,23,0,0,0,1.782608696,36,0,13,0,0,0,0,0,0
org.apache.ivy.core.module.descriptor.ExcludeRule,ant-ivy-2.0.0-alpha2,3,10,1,20,85,0,3,20,20,0,0,3,3,0,0,0,5,10,0,3,0,0,0,0,0,0
org.apache.ivy.core.module.descriptor.IncludeRule,ant-ivy-2.0.0-alpha2,3,10,1,20,64,0,3,20,20,0,0,3,3,0,0,0,5,10,0,3,0,0,0,0,0,0
org.apache.ivy.core.module.descriptor.License,ant-ivy-2.0.0-alpha2,0,5,1,14,25,0,0,14,8,2,0,3,1,0,0,0,4,5,0,2,0,0,0,0,0,0
org.apache.ivy.core.module.descriptor.MDArtifact,ant-ivy-2.0.0-alpha2,7,26,2,68,11,7,14,68,56,8,0,12,8,0,0.25,0,5.5,26,0,8,0,0,0,0,0,0
org.apache.ivy.core.module.descriptor.ModuleDescriptor,ant-ivy-2.0.0-alpha2,12,54,1,106,739,0,325,106,106,2,0,26,26,2,0,0,3.846153846,54,0,18,0,0,0,0,0,0
org.apache.ivy.core.module.id.ArtifactId,ant-ivy-2.0.0-alpha2,0,18,1,70,40,12,20,70,46,4,0,8,4,0,0,0,9.25,18,0,6,0,0,0,0,0,0
org.apache.ivy.core.module.id.ArtifactRevisionId,ant-ivy-2.0.0-alpha2,4,36,2,75,8,29,20,75,66,2,0,13,11,0,0.384615385,0,5.363636364,36,0,8,0,0,0,0,0,0
org.apache.ivy.core.module.id.ModuleId,ant-ivy-2.0.0-alpha2,0,26,1,97,353,6,0,97,83,4,0,9,7,0,0,0,10.71428571,26,0,5,0,0,0,0,0,0
